# xp, vp at time = 1.136147824833748e-09
6.531247388764184481e-02 1.336023009313228168e+07
8.336627812238064927e-02 1.156587120434013195e+07
1.919504888514054486e-01 1.312533551483628340e+07
1.629704593123202927e-01 1.149492933591368236e+07
9.876874677474137276e-02 1.094170740189992636e+07
9.409587231850381761e-02 1.825113346025465056e+07
1.366994147906498702e-01 3.212151804658876732e+06
4.777171221212830193e-02 5.794213044616439380e+06
1.633471273038290539e-01 1.257756304775445536e+07
2.206567514411083009e-01 9.951890270629320294e+06
7.984072863198310444e-02 2.298466675421499088e+07
5.183635738565430841e-03 1.528343000272284262e+07
1.682104939827270829e-01 1.809308336923853680e+07
3.087730880691003446e-02 8.535134966148069128e+06
1.102160321042058022e-01 1.113692511459017359e+07
2.046591748479559547e-01 7.155046152351025492e+06
1.661670886232503863e-01 9.940495076698802412e+06
8.911564301405344724e-02 1.508009919599492475e+07
1.726613476923188062e-01 7.828688946695198305e+06
6.566211647556502440e-02 1.512201908818702400e+07
3.179757662243302974e-02 1.232777671883841790e+07
4.263495737586371626e-02 6.420608327708883211e+06
8.449925140472443197e-02 7.846832485477053560e+06
1.158846197761927987e-01 1.168364874393928237e+07
7.634315209055136942e-02 1.600784366246906109e+07
1.912401647635171842e-01 8.691963023018825799e+06
5.223243253665348085e-02 8.285100436050508171e+06
4.038762495281381093e-02 1.036775848466721363e+07
3.269430613598223873e-02 1.105196928187355585e+07
1.477957841325779897e-01 1.339383611119358987e+07
2.063461740596390925e-01 1.518232044277328812e+07
1.406692924754310847e-01 6.193996967912673019e+06
2.187841359511285555e-01 1.022460913908110745e+07
1.759547570972160024e-01 1.289495252917302214e+07
2.115543844644948712e-01 1.887938641663898528e+07
2.223747692710540680e-01 1.408590722473383509e+07
1.356453374785184240e-01 1.311701071824785322e+07
2.224740624057115479e-01 1.246301766667900048e+07
1.210845888188594593e-01 1.042072075465179421e+07
7.796069962232446415e-02 1.600258436091553420e+07
1.092806056447579166e-01 8.267053392864157446e+06
1.575463186532187754e-01 8.797802644645798951e+06
8.378049178765803462e-02 9.006356419704513624e+06
